PetID,AdoptionSpeed,Type,Brightness,Blurriness,Contrast,Colorfulness,Saturation,R_mean,G_mean,B_mean,Brightness_s,Blurriness_s,Contrast_s,Colorfulness_s,Saturation_s,QualityScore
3f8824a3b,4,Dog,83.64,437.66,58.23,61.41,171.97,110.7,78.7,38.1,0.3285800970873787,0.018064933014337644,0.4775249411500952,0.48149600125450837,0.7212599085685526,0.4053851762149745
9238eb7fc,2,Cat,121.48,275.69,50.25,23.82,65.04,117.9,126.7,104.1,0.5199231391585761,0.011115363624193787,0.38807308597690837,0.18676493649051276,0.27278446504215076,0.2757321980584683
f0a1f2b90,4,Cat,139.01,351.57,71.21,30.91,81.43,152.9,135.6,120.2,0.6085659385113269,0.014371110523768497,0.6230243246272837,0.2423553395013329,0.3415258147045255,0.3659685055736475
7d028bdea,2,Dog,102.81,353.99,68.67,34.63,74.33,109.7,101.2,93.0,0.4255157766990292,0.014474944307334271,0.5945521802488509,0.2715226595577858,0.31174768275804216,0.3235626487142084
965b31ba7,1,Dog,109.65,91.73,59.09,62.72,83.82,131.2,100.1,102.3,0.4601031553398059,0.00322227981230971,0.4871651160183836,0.4917672886937431,0.3515497210921444,0.35876151219127733
3760c73b1,4,Dog,72.11,342.67,52.67,23.45,66.69,77.3,70.9,64.5,0.27027710355987056,0.01398924247677041,0.4152000896760452,0.18386388583973653,0.2797047351423898,0.23260701133896253
f41a7de83,4,Dog,147.45,309.69,39.72,11.17,19.22,151.5,146.4,141.9,0.6512439320388349,0.012574185376770753,0.2700369913686806,0.08758036694370393,0.08061066141005745,0.22040922742760954
7b660c6af,3,Cat,69.88,455.15,84.96,8.5,106.22,74.9,67.6,68.3,0.2590008090614887,0.01881536808647209,0.7771550274632888,0.06664575819350792,0.44549763033175355,0.3134229186273022
f94c2a347,4,Dog,114.28,1470.28,48.65,14.12,26.79,116.9,114.0,108.9,0.48351537216828483,0.06237106590098547,0.37013787691962774,0.11071036537556844,0.11236002180933606,0.2278189404347605
c5072890c,4,Cat,131.85,191.07,30.53,19.09,45.72,132.4,132.8,125.6,0.5723604368932039,0.007484613721162527,0.16702163434592535,0.14967853222518424,0.19175439332298788,0.21765992210169277
a0e71d03a,4,Dog,133.54,4044.97,71.16,36.3,86.89,149.3,131.4,103.1,0.580906148867314,0.17284205937576158,0.6224638493442438,0.2846165908734514,0.36442561758168013,0.4050508532084902
a37c82165,1,Dog,142.9,426.8,44.12,37.16,59.74,158.4,138.0,127.4,0.6282362459546926,0.017598968183955708,0.3193588162762021,0.2913595734671475,0.25055571865956466,0.30142186450831254
d0aa84916,3,Dog,122.72,150.58,60.78,22.57,45.55,126.7,121.3,119.5,0.5261933656957929,0.0057473286399318995,0.5061091805851361,0.17696408969734984,0.19104139579750867,0.2812110720831439
765039f34,3,Cat,146.01,979.22,47.53,38.06,46.79,153.3,145.0,132.2,0.6439623786407767,0.04130138914156063,0.3575832305795314,0.2984161831582249,0.19624208363041562,0.3075010530301018
37ea8d2db,4,Cat,163.61,210.0,90.3,13.81,22.75,157.9,165.7,167.6,0.7329591423948221,0.008296834185170819,0.8370137876919628,0.10827975537086404,0.095415845321478,0.35639307299285955
5b07e0e6a,2,Cat,114.94,281.91,48.95,14.39,33.25,113.3,115.7,115.3,0.48685275080906154,0.011382242191871103,0.3735007286178679,0.11282734828289163,0.13945392777754476,0.22480339953584744
edd2ebd5e,1,Dog,148.15,146.25,22.27,44.56,60.51,164.5,143.3,130.0,0.6547835760517801,0.005561543399089009,0.07443111758771437,0.3493805864826721,0.2537851780396762,0.26758840031218634
2d758a13b,1,Cat,88.79,340.54,70.09,56.2,129.46,112.0,83.9,52.8,0.35462176375404536,0.013897851584623677,0.6104696782871875,0.4406460718206053,0.542968586167848,0.3925207903228619
ee3b21a9a,1,Dog,137.18,1926.08,55.68,78.41,146.34,190.7,120.2,83.9,0.5993122977346279,0.08192785868994373,0.4489407017150543,0.6147875176415242,0.6137650463448392,0.47174668442519785
324266c95,2,Cat,112.65,1381.68,47.01,23.23,75.67,134.4,104.1,99.9,0.47527305825242727,0.05856954803985844,0.35175428763591515,0.18213893680413987,0.3173677809000545,0.27702072232647906
1ed55129a,1,Cat,114.57,1197.35,55.16,16.44,42.63,118.2,113.4,111.3,0.4849817961165049,0.05066058881478455,0.44311175877143805,0.12890073702367885,0.17879461477163108,0.2572898990996075
41b98eea2,2,Dog,115.26,252.17,72.53,23.0,51.27,120.3,113.3,112.3,0.48847087378640786,0.010106202223587603,0.6378208720995403,0.18033558099419789,0.21503166547833746,0.3063530389164143
5de61cf6b,2,Cat,129.22,210.13,46.84,19.82,48.1,132.3,129.6,119.3,0.5590614886731392,0.00830241203304832,0.3498486716735792,0.1554022267523914,0.20173635867969636,0.2548702315623709
7addf37de,3,Cat,110.47,3655.95,53.5,22.85,73.05,123.1,106.5,98.0,0.4642495954692557,0.156150564134953,0.4245039793745095,0.17915947937901835,0.3063792308014931,0.3060885698318459
5bae0f028,3,Cat,88.07,301.02,77.52,34.06,102.49,88.7,87.8,87.9,0.3509809870550162,0.012202185829863625,0.6937563053469341,0.2670534734201035,0.42985362580212216,0.3507693154908079
2533f425e,2,Dog,92.2,285.29,59.67,33.37,98.08,99.0,93.2,68.9,0.3718648867313916,0.011527266236686108,0.49366662930164773,0.2616434059902775,0.41135763117057417,0.31001196388611546
98f5b7ecf,3,Cat,81.75,441.59,53.58,19.93,61.02,86.4,81.3,71.9,0.3190230582524272,0.018233555646326685,0.42540073982737353,0.15626470127018974,0.2559241706161138,0.2349692451224862
93f758039,3,Dog,142.96,174.66,41.64,19.74,33.3,147.4,141.6,138.5,0.628539644012945,0.006780517692933467,0.2915592422374173,0.15477497255762895,0.13966363293209746,0.2442636018866044
de445d837,4,Dog,162.39,407.68,44.97,38.62,90.12,180.8,160.8,122.2,0.7267900485436893,0.01677859548074184,0.32888689608788246,0.3028069625215618,0.37797257056578454,0.35064701463993203
1a47d1c94,4,Dog,118.96,7434.8,45.92,50.99,105.89,118.7,124.6,90.5,0.5071804207119741,0.3182878753033491,0.33953592646564285,0.3997961423867022,0.4441135763117057,0.4017827882358748
23367e78c,3,Dog,61.59,370.35,36.11,11.72,46.8,60.0,61.8,64.4,0.2170813106796117,0.0151768950094566,0.2295706759331913,0.09189273953269562,0.19628402466132616,0.15000112916325628
94b6d93ea,3,Cat,78.56,1066.28,44.45,40.5,136.97,92.7,76.6,51.6,0.3028923948220065,0.04503683095860035,0.32305795314426633,0.3175474360984789,0.5744663003816634,0.3126001830810031
ba8d53f1e,4,Cat,107.58,854.66,63.94,44.97,118.66,126.8,104.3,73.9,0.44963592233009714,0.03595695274447278,0.5415312184732652,0.35259526423082954,0.497672272784465,0.3754783261126259
7e29d5a9d,4,Dog,166.47,1164.22,61.44,16.93,35.64,174.1,164.9,154.7,0.7474211165048544,0.049239095736464705,0.5135074543212643,0.1327426689665987,0.14947783416516378,0.3184776339388692
8e3e0ffde,2,Dog,42.97,67.21,20.4,19.21,111.44,40.2,45.1,39.1,0.12292677993527508,0.0021702118895689094,0.05346934200201768,0.1506194135173279,0.4673908484670553,0.159315319162249
eee3ab446,1,Dog,117.45,90.75,33.47,10.12,17.12,117.3,117.6,117.2,0.49954490291262144,0.0031802314206177853,0.19997758098867835,0.07934765563744707,0.07180304491884411,0.17077068317564176
4c674cc1f,2,Dog,152.18,234.61,31.17,31.35,33.92,159.2,150.7,141.6,0.6751618122977348,0.009352763694903735,0.17419571796883757,0.24580523757252626,0.14226397684855094,0.24935590167651064
a6231927c,3,Cat,124.05,188.8,74.37,46.64,138.1,136.2,127.1,76.4,0.5329186893203883,0.007387215915916947,0.658446362515413,0.3656891955464952,0.5792056368745543,0.4287294200345536
147bd18e0,3,Cat,123.42,879.08,39.59,37.91,89.47,145.6,117.0,98.0,0.5297330097087379,0.037004730015000126,0.2685797556327766,0.29724008154304526,0.3752464035565994,0.3015607960912319
87554ea1f,2,Dog,94.48,860.81,45.02,29.12,87.02,105.2,91.5,81.8,0.3833940129449839,0.03622082785560067,0.3294473713709225,0.22832052689352358,0.36497085098351717,0.26847071800970956
61e477c0a,1,Dog,114.16,541.49,59.94,23.41,66.64,114.8,114.8,109.1,0.48290857605177995,0.02251991720757489,0.49669319583006377,0.18355025874235534,0.2794950299878371,0.29303339556392227
f261c9968,3,Dog,92.83,1438.76,52.8,48.51,60.99,99.6,91.1,83.8,0.3750505663430421,0.06101865232330236,0.4166573254119492,0.3803512623490669,0.25579834752338215,0.29777523079014856
474bccd75,2,Dog,115.72,3007.55,60.42,53.92,138.27,131.4,116.3,71.3,0.4907969255663431,0.1283299751828676,0.502073758547248,0.4227693272698761,0.5799186344000336,0.42477772419327364
ded3b183c,2,Dog,104.82,5910.04,62.5,23.63,82.49,115.3,103.1,86.4,0.43567961165048547,0.25286572661337103,0.5253895303217128,0.185275207777952,0.3459715639810426,0.34903632806891277
3b1976326,2,Dog,135.16,918.43,58.14,36.46,58.12,144.9,132.8,121.8,0.5890978964401294,0.038693101660997285,0.4765160856406232,0.2858710992629763,0.2437612716520572,0.3267878909313567
f526c71a0,4,Cat,115.82,3048.61,73.68,18.06,39.51,117.7,115.2,114.0,0.49130258899676377,0.13009171698171496,0.6507118036094608,0.14160263446761798,0.16570901312754266,0.31588355143662006
861d65847,1,Dog,89.77,1386.24,66.04,32.29,59.95,97.7,88.3,76.4,0.3595772653721683,0.058765201780792295,0.5650711803609461,0.25317547436098475,0.251436480308686,0.2976051204367155
bda912e4e,1,Dog,90.83,50.21,67.86,13.71,37.42,92.0,91.1,86.4,0.36493729773462785,0.0014408010132804267,0.5854724806636027,0.107495687627411,0.15694333766723986,0.24325792094123236
32d8fa52b,1,Dog,130.55,1564.32,45.71,69.31,150.15,121.5,145.1,79.0,0.5657868122977348,0.06640599524252482,0.33718193027687476,0.5434373529872981,0.6297445791217549,0.42851133398523744
9f0f70e44,1,Cat,109.95,575.63,43.21,20.72,57.56,111.9,111.6,96.2,0.461620145631068,0.023984745873250703,0.30915816612487385,0.1624588364434687,0.241412573921067,0.2397268935987457
973dddde5,1,Cat,146.97,368.18,49.4,29.04,52.09,155.8,145.3,132.2,0.6488167475728156,0.01508378785642448,0.378545006165228,0.22769327269876116,0.21847083001300172,0.29772192886124627
902087c95,3,Cat,93.37,73.44,31.43,42.42,103.94,114.6,85.8,76.4,0.37778114886731395,0.0024375195224675713,0.17711018944064563,0.33260153677277715,0.4359350752841505,0.26517309397747096
dd065921b,2,Cat,183.89,115.6,83.67,18.78,23.43,190.3,181.4,179.5,0.8355076860841424,0.004246458495663009,0.7626947651608564,0.14724792222047986,0.0982678354233947,0.3695929334769073
d4bdcd89c,2,Cat,107.17,309.9,58.08,20.37,57.66,113.6,104.8,102.5,0.4475627022653722,0.01258319574641902,0.47584351530097513,0.1597145993413831,0.24183198423017235,0.2675071993768644
26d0bfe44,3,Cat,117.96,881.3,58.22,26.86,47.68,128.5,114.3,109.0,0.502123786407767,0.03709998249413897,0.4774128460934872,0.210600595891485,0.19997483538145366,0.2854424092536664
536475bf3,2,Cat,136.14,1108.39,87.66,42.94,69.15,149.0,131.1,128.5,0.5940533980582524,0.04684362460568906,0.8074206927474498,0.33667868903873294,0.2900222287463826,0.41500372663930135
082c6dee3,2,Cat,124.91,1384.28,65.57,26.2,55.91,127.7,124.5,119.8,0.5372673948220065,0.05868110499740844,0.5598027127003697,0.205425748784695,0.2344923038208279,0.3191338530250615
7de2f688b,4,Dog,138.87,1176.98,49.98,16.1,27.28,141.5,138.5,133.8,0.6078580097087379,0.04978658295890241,0.3850465194484922,0.12623490669593854,0.11441513232395252,0.2566682302272047
ace3a3299,3,Cat,56.66,460.34,50.1,15.1,60.62,55.6,57.0,57.8,0.19215210355987056,0.019038052936350747,0.3863916601277883,0.11839422926140818,0.2542465293796921,0.19404451505302198
2463e0981,4,Dog,144.5,965.71,48.83,38.05,65.19,169.5,134.0,133.0,0.636326860841424,0.04072172202752196,0.37215558793857184,0.29833777638387954,0.27341358050580883,0.32419110553944125
